id,name,height,date_of_birth
nm0114430,Peter Vack,,1986-09-19
nm0000707,Sean Young,173,1959-11-20
nm0115152,Chris Browning,200,
nm0000708,Billy Zane,184,1966-02-24
nm0116369,Didier Brunner,,
nm0000713,Joel Oliansky,,1935-10-11
nm0116511,Massimiliano Bruno,,1970-06-04
nm0000714,Willie Aames,168,1960-07-15
nm0117005,Robbie Bryan,,
nm0000719,F. Murray Abraham,178,1939-10-24
nm0117369,Martin Brygmann,200,1963-01-25
nm0000725,Joey Lauren Adams,163,1968-01-09
nm0117911,Carlo Buccirosso,,1954-07-07
nm0118201,Andrew Buckland,,1954-02-04
nm0000732,Danny Aiello,189,1933-06-20
nm0119782,Ewa Bukowska,,1966-08-27
nm0000741,Tim Allen,179,1953-06-13
nm0121203,Janez Burger,,1965-03-21
nm0000744,Maria Conchita Alonso,169,1957-06-29
nm0121871,Stephen Burke,,
nm0000754,Kevin Anderson,179,1960-01-13
nm0122044,David Burkman,,
nm0000759,Paul Thomas Anderson,179,1970-06-26
nm0122216,Abbas Alibhai Burmawalla,,
nm0000767,Jean-Hugues Anglade,175,1955-07-29
nm0122217,Mastan Alibhai Burmawalla,,
nm0000775,Christina Applegate,165,1971-11-25
nm0122223,Charles Burmeister,,
nm0122999,David Burr,,
nm0000796,Dana Ashbrook,183,1967-05-24
nm0123148,Pete Burris,,
nm0000798,Linden Ashby,182,1960-05-23
nm0123353,Colette Burson,,
nm0000800,Armand Assante,178,1949-10-04
nm0124112,Dan Bush,,
nm0125887,Bob Byington,,
nm0000804,Stéphane Audran,169,1932-11-08
nm0126669,Marie Bäumer,200,1969-05-07
nm0000806,Bille August,,1948-11-09
nm0126802,Louis Bélanger,,1964
nm0000809,Daniel Auteuil,170,1950-01-24
nm0127102,Enikö Börcsök,,1968-01-28
nm0000818,Shabana Azmi,168,1950-09-18
nm0127406,Liliana Cabal,,
nm0000821,Amitabh Bachchan,183,1942-10-11
nm0128058,Dan Cadan,,1975-01-02
nm0000828,Barbara Bain,176,1931-09-13
nm0128464,Eliane Caffé,,1961
nm0000836,Scott Bakula,182,1954-10-09
nm0128657,Erin Cahill,200,1980-01-04
nm0000838,Daniel Baldwin,188,1960-10-05
nm0130554,Antonio Calloni,,1961-12-06
nm0000841,Michael Ballhaus,,1935-08-05
nm0130860,Mhairi Calvey,200,1988-05-07
nm0000846,Ian Bannen,185,1928-06-29
nm0131564,Dwayne Cameron,,1981-10-28
nm0000848,Olivia Barash,155,1965-01-11
